Customer_id,State,Population,Age,Gender,Churn,Contract,InternetService,Tenure,PaymentMethod
K409198,AK,38,68,Male,False,One year,Fiber Optic,7.0,Credit Card (automatic)
S120509,MI,10446,27,Female,True,Month-to-month,Fiber Optic,1.0,Bank Transfer(automatic)
K191035,OR,3735,50,Female,False,Two Year,DSL,16.0,Credit Card (automatic)
D90850,CA,13863,48,Male,False,Two Year,DSL,17.0,Mailed Check
K662701,TX,11352,83,Male,True,Month-to-month,Fiber Optic,2.0,Mailed Check
W303516,GA,17701,83,Female,False,One year,Fiber Optic,7.0,Electronic Check
U335188,TN,2535,79,Male,True,Month-to-month,DSL,13.0,Electronic Check
V538685,OK,23144,30,Female,True,Month-to-month,DSL,4.0,Mailed Check
M716771,FL,17351,49,Nonbinary,False,Month-to-month,DSL,8.0,Bank Transfer(automatic)
I676080,OH,20193,86,Female,False,Two Year,Fiber Optic,3.0,Mailed Check
J980369,PA,555,23,Female,False,Month-to-month,DSL,19.0,Mailed Check
E243720,PR,33372,56,Female,False,Month-to-month,Fiber Optic,11.0,Electronic Check
F139569,IA,556,83,Male,False,Month-to-month,Fiber Optic,13.0,Bank Transfer(automatic)
X44200,ME,0,29,Female,False,Two Year,Fiber Optic,17.0,Bank Transfer(automatic)
H68068,IL,8165,30,Male,True,Month-to-month,DSL,10.0,Bank Transfer(automatic)
A403906,WI,2093,39,Male,True,One year,Fiber Optic,14.0,Electronic Check
V847470,CA,50079,63,Female,True,Month-to-month,DSL,16.0,Bank Transfer(automatic)
F721878,NC,7249,60,Male,True,Two Year,Fiber Optic,2.0,Mailed Check
F487435,TN,9463,61,Female,False,Two Year,Fiber Optic,17.0,Bank Transfer(automatic)
B561228,AL,3177,23,Male,True,Month-to-month,DSL,13.0,Credit Card (automatic)
X325271,IL,69,38,Male,False,Month-to-month,Fiber Optic,20.0,Bank Transfer(automatic)
I282896,OH,14440,30,Male,False,Two Year,Fiber Optic,2.0,Bank Transfer(automatic)
I367206,IA,381,52,Male,False,Month-to-month,Fiber Optic,7.0,Electronic Check
N37182,ME,2193,68,Male,False,One year,Fiber Optic,9.0,Electronic Check
U644626,OH,9434,75,Female,True,Month-to-month,Fiber Optic,6.0,Credit Card (automatic)
A766555,FL,29568,77,Male,True,Month-to-month,DSL,4.0,Bank Transfer(automatic)
V54032,NM,3089,47,Female,True,Month-to-month,Fiber Optic,10.0,Mailed Check
Z301326,MI,5652,70,Female,True,Month-to-month,Fiber Optic,1.0,Electronic Check
J887250,VT,1716,20,Female,True,One year,DSL,1.0,Bank Transfer(automatic)
Z686376,MD,52484,69,Male,True,Two Year,DSL,5.0,Credit Card (automatic)
L357432,NY,11268,45,Male,False,Two Year,Fiber Optic,11.0,Credit Card (automatic)
V899967,OH,1765,40,Female,False,Two Year,Fiber Optic,4.0,Electronic Check
G571225,WA,680,82,Female,True,Month-to-month,Fiber Optic,5.0,Electronic Check
S381541,MI,136,74,Male,True,Month-to-month,DSL,21.0,Electronic Check
R195593,IL,1517,69,Male,True,One year,Fiber Optic,3.0,Mailed Check
I327596,MI,14103,52,Male,True,Month-to-month,DSL,5.0,Mailed Check
U790894,CT,6394,26,Female,True,Month-to-month,Fiber Optic,3.0,Credit Card (automatic)
O739489,NJ,5059,25,Female,False,One year,DSL,7.0,Electronic Check
I958127,DC,20450,66,Female,False,Two Year,Fiber Optic,10.0,Credit Card (automatic)
Z666770,PA,2123,72,Male,False,Two Year,Fiber Optic,16.0,Electronic Check
X711438,NJ,1164,21,Female,False,Month-to-month,Fiber Optic,9.0,Mailed Check
U369541,PA,23,55,Male,False,Month-to-month,DSL,3.0,Electronic Check
S896111,OK,895,41,Male,True,Two Year,Fiber Optic,4.0,Credit Card (automatic)
K227200,PA,6699,32,Male,False,Two Year,Fiber Optic,19.0,Electronic Check
E818912,NY,35743,22,Female,True,Two Year,Fiber Optic,9.0,Credit Card (automatic)
Y490834,MI,320,44,Female,True,Month-to-month,Fiber Optic,10.0,Electronic Check
B609739,IL,7870,23,Male,True,Month-to-month,Fiber Optic,22.0,Bank Transfer(automatic)
E687638,WA,861,43,Female,True,Month-to-month,Fiber Optic,9.0,Credit Card (automatic)
E492264,TN,15364,86,Female,False,Two Year,Fiber Optic,8.0,Bank Transfer(automatic)
W255321,ND,2589,84,Female,False,Month-to-month,Fiber Optic,12.0,Electronic Check
S72442,AL,4901,62,Female,True,Month-to-month,DSL,3.0,Bank Transfer(automatic)
O845020,NC,39649,68,Female,True,Month-to-month,Fiber Optic,7.0,Credit Card (automatic)
D805597,LA,456,59,Female,False,Month-to-month,Fiber Optic,5.0,Electronic Check
R189303,IA,94,31,Female,True,One year,Fiber Optic,2.0,Credit Card (automatic)
N142854,NE,315,51,Male,True,Month-to-month,Fiber Optic,12.0,Mailed Check
F522569,WV,4969,58,Female,False,One year,DSL,14.0,Mailed Check
L384793,TX,46869,73,Male,True,Month-to-month,DSL,10.0,Electronic Check
C101444,CA,58431,33,Female,False,Two Year,Fiber Optic,7.0,Mailed Check
E987442,WI,26182,58,Male,True,Two Year,Fiber Optic,16.0,Credit Card (automatic)
L54611,GA,694,49,Female,False,Two Year,Fiber Optic,7.0,Electronic Check
L85018,OK,3093,26,Female,False,One year,DSL,3.0,Mailed Check
O942919,IL,2765,25,Male,False,Month-to-month,Fiber Optic,2.0,Electronic Check
I167253,PA,3757,42,Female,True,Month-to-month,DSL,8.0,Mailed Check
R110564,AZ,4938,81,Male,False,Month-to-month,Fiber Optic,12.0,Mailed Check
M278354,NC,3761,43,Female,False,Month-to-month,Fiber Optic,10.0,Electronic Check
W604879,CA,1851,63,Male,False,Two Year,DSL,8.0,Bank Transfer(automatic)
X345797,IL,38476,70,Female,True,Month-to-month,Fiber Optic,4.0,Bank Transfer(automatic)
N189653,MO,13547,78,Male,True,Month-to-month,Fiber Optic,11.0,Bank Transfer(automatic)
M562102,TX,7801,48,Male,False,Month-to-month,DSL,12.0,Electronic Check
X67911,WY,17823,63,Female,True,Month-to-month,DSL,2.0,Credit Card (automatic)
O834546,OR,20269,60,Female,True,One year,Fiber Optic,24.0,Electronic Check
I493092,OH,30225,87,Male,True,One year,DSL,4.0,Bank Transfer(automatic)
H787644,OH,5760,54,Female,False,Two Year,Fiber Optic,8.0,Bank Transfer(automatic)
N582710,MT,61,35,Male,True,Month-to-month,Fiber Optic,9.0,Electronic Check
T689606,CA,34359,70,Male,True,Month-to-month,Fiber Optic,2.0,Bank Transfer(automatic)
E330599,CA,24693,67,Female,True,One year,DSL,5.0,Electronic Check
C641592,VA,4235,46,Female,True,Two Year,Fiber Optic,1.0,Electronic Check
E24772,KY,2193,50,Male,False,Two Year,DSL,20.0,Bank Transfer(automatic)
A889769,IL,273,24,Female,True,Month-to-month,Fiber Optic,25.0,Mailed Check
G391761,MN,14557,20,Male,False,Month-to-month,Fiber Optic,10.0,Credit Card (automatic)
A606860,FL,17653,29,Female,True,One year,DSL,10.0,Electronic Check
E186097,PA,285,31,Male,False,Month-to-month,Fiber Optic,8.0,Credit Card (automatic)
I627613,MI,320,72,Female,False,Two Year,Fiber Optic,19.0,Mailed Check
Z188641,KY,2863,71,Male,False,Month-to-month,DSL,14.0,Credit Card (automatic)
A740543,KS,1206,32,Female,False,One year,Fiber Optic,2.0,Bank Transfer(automatic)
W681476,VA,35279,33,Male,False,One year,Fiber Optic,2.0,Credit Card (automatic)
G842176,PA,1049,67,Male,False,Month-to-month,Fiber Optic,5.0,Bank Transfer(automatic)
Z852663,IL,32203,66,Female,True,Month-to-month,Fiber Optic,4.0,Electronic Check
C73741,CT,25576,21,Female,True,Month-to-month,DSL,4.0,Electronic Check
W258972,CA,319,61,Female,False,One year,Fiber Optic,4.0,Bank Transfer(automatic)
G491883,NC,55519,75,Female,True,Month-to-month,Fiber Optic,2.0,Mailed Check
C302549,MA,15210,63,Female,True,Month-to-month,DSL,14.0,Mailed Check
K581313,MI,3499,68,Female,False,Two Year,Fiber Optic,3.0,Electronic Check
T46150,LA,14479,32,Male,True,Two Year,DSL,20.0,Electronic Check
B260505,FL,4654,76,Male,False,Two Year,DSL,18.0,Mailed Check
W877056,TX,26320,29,Female,True,Month-to-month,Fiber Optic,5.0,Credit Card (automatic)
M478246,IL,35,83,Female,False,Month-to-month,Fiber Optic,7.0,Electronic Check
N417817,IL,521,23,Male,True,Month-to-month,Fiber Optic,13.0,Mailed Check
R180138,NC,17600,80,Male,False,Month-to-month,Fiber Optic,20.0,Mailed Check
N931384,ND,3324,20,Male,False,One year,Fiber Optic,7.0,Electronic Check
O967373,AL,55122,69,Male,True,Month-to-month,Fiber Optic,14.0,Credit Card (automatic)
G695985,KY,4038,32,Male,False,One year,Fiber Optic,11.0,Bank Transfer(automatic)
P33478,NY,31927,53,Female,True,Month-to-month,Fiber Optic,3.0,Mailed Check
K100436,WV,19904,25,Male,False,Two Year,Fiber Optic,17.0,Electronic Check
L475907,MO,13000,69,Male,True,Month-to-month,Fiber Optic,23.0,Mailed Check
A78095,NE,1444,71,Male,True,Month-to-month,Fiber Optic,4.0,Electronic Check
X742990,NY,2158,53,Female,True,Month-to-month,DSL,11.0,Credit Card (automatic)
P347346,IN,1800,56,Nonbinary,True,Month-to-month,Fiber Optic,13.0,Bank Transfer(automatic)
O235183,TX,30,42,Male,True,Month-to-month,DSL,15.0,Bank Transfer(automatic)
R776311,AL,3682,33,Male,True,Month-to-month,Fiber Optic,9.0,Electronic Check
C25146,VA,41733,47,Male,False,Month-to-month,Fiber Optic,5.0,Bank Transfer(automatic)
E722502,MN,630,48,Female,True,Two Year,Fiber Optic,7.0,Credit Card (automatic)
D515341,WI,15383,63,Female,True,Month-to-month,Fiber Optic,3.0,Mailed Check
U972291,MA,257,40,Male,False,Month-to-month,Fiber Optic,18.0,Bank Transfer(automatic)
N374641,NY,1012,67,Male,True,Month-to-month,Fiber Optic,13.0,Mailed Check
R736057,VA,20327,56,Female,False,Month-to-month,Fiber Optic,23.0,Credit Card (automatic)
K401117,KY,69,24,Female,False,One year,DSL,6.0,Mailed Check
O17401,NE,1130,79,Female,False,Two Year,Fiber Optic,13.0,Electronic Check
E779833,NY,4210,61,Male,True,Month-to-month,DSL,7.0,Electronic Check
Q527077,SC,155,38,Male,True,Two Year,Fiber Optic,9.0,Electronic Check
Q765651,CA,37711,28,Female,False,Two Year,DSL,22.0,Credit Card (automatic)
W400552,IA,1800,44,Male,True,One year,Fiber Optic,5.0,Credit Card (automatic)
S979985,PA,8028,65,Male,False,Month-to-month,Fiber Optic,10.0,Mailed Check
E351590,FL,31859,35,Female,False,Month-to-month,Fiber Optic,8.0,Bank Transfer(automatic)
J227824,OH,16101,31,Female,False,Two Year,Fiber Optic,8.0,Credit Card (automatic)
S136858,FL,20449,34,Male,False,Two Year,DSL,7.0,Bank Transfer(automatic)
N883325,PA,161,68,Male,True,Month-to-month,Fiber Optic,5.0,Electronic Check
U700981,CT,29210,62,Male,False,Two Year,DSL,10.0,Bank Transfer(automatic)
X267853,IL,821,52,Male,False,Two Year,DSL,4.0,Electronic Check
S985225,IL,5846,32,Male,True,Month-to-month,Fiber Optic,5.0,Mailed Check
X645702,OH,4476,47,Female,True,Month-to-month,DSL,6.0,Mailed Check
I703479,AL,5529,66,Female,False,Month-to-month,Fiber Optic,3.0,Mailed Check
S370452,NH,25328,70,Female,True,Month-to-month,DSL,9.0,Bank Transfer(automatic)
D333249,NY,3736,41,Male,True,Month-to-month,Fiber Optic,10.0,Mailed Check
O698848,MN,610,59,Male,False,Month-to-month,Fiber Optic,9.0,Bank Transfer(automatic)
