Customer_id,State,Population,Age,Gender,Churn,Contract,InternetService,Tenure,PaymentMethod,Region,Average_Income
K409198,AK,38,68,Male,False,One year,Fiber Optic,7.0,Credit Card (automatic),AK,"$68,919"
S120509,MI,10446,27,Female,True,Month-to-month,Fiber Optic,1.0,Bank Transfer(automatic),MI,"$56,813"
K191035,OR,3735,50,Female,False,Two Year,DSL,16.0,Credit Card (automatic),OR,"$62,767"
D90850,CA,13863,48,Male,False,Two Year,DSL,17.0,Mailed Check,CA,"$77,339"
K662701,TX,11352,83,Male,True,Month-to-month,Fiber Optic,2.0,Mailed Check,TX,"$61,985"
W303516,GA,17701,83,Female,False,One year,Fiber Optic,7.0,Electronic Check,GA,"$57,129"
U335188,TN,2535,79,Male,True,Month-to-month,DSL,13.0,Electronic Check,TN,"$58,279"
V538685,OK,23144,30,Female,True,Month-to-month,DSL,4.0,Mailed Check,OK,"$54,998"
M716771,FL,17351,49,Nonbinary,False,Month-to-month,DSL,8.0,Bank Transfer(automatic),FL,"$63,597"
I676080,OH,20193,86,Female,False,Two Year,Fiber Optic,3.0,Mailed Check,OH,"$57,880"
J980369,PA,555,23,Female,False,Month-to-month,DSL,19.0,Mailed Check,PA,"$65,167"
F139569,IA,556,83,Male,False,Month-to-month,Fiber Optic,13.0,Bank Transfer(automatic),IA,"$58,905"
X44200,ME,0,29,Female,False,Two Year,Fiber Optic,17.0,Bank Transfer(automatic),ME,"$59,463"
H68068,IL,8165,30,Male,True,Month-to-month,DSL,10.0,Bank Transfer(automatic),IL,"$68,822"
A403906,WI,2093,39,Male,True,One year,Fiber Optic,14.0,Electronic Check,WI,"$61,210"
V847470,CA,50079,63,Female,True,Month-to-month,DSL,16.0,Bank Transfer(automatic),CA,"$77,339"
F721878,NC,7249,60,Male,True,Two Year,Fiber Optic,2.0,Mailed Check,NC,"$57,416"
F487435,TN,9463,61,Female,False,Two Year,Fiber Optic,17.0,Bank Transfer(automatic),TN,"$58,279"
B561228,AL,3177,23,Male,True,Month-to-month,DSL,13.0,Credit Card (automatic),AL,"$50,637"
X325271,IL,69,38,Male,False,Month-to-month,Fiber Optic,20.0,Bank Transfer(automatic),IL,"$68,822"
I282896,OH,14440,30,Male,False,Two Year,Fiber Optic,2.0,Bank Transfer(automatic),OH,"$57,880"
I367206,IA,381,52,Male,False,Month-to-month,Fiber Optic,7.0,Electronic Check,IA,"$58,905"
N37182,ME,2193,68,Male,False,One year,Fiber Optic,9.0,Electronic Check,ME,"$59,463"
U644626,OH,9434,75,Female,True,Month-to-month,Fiber Optic,6.0,Credit Card (automatic),OH,"$57,880"
A766555,FL,29568,77,Male,True,Month-to-month,DSL,4.0,Bank Transfer(automatic),FL,"$63,597"
V54032,NM,3089,47,Female,True,Month-to-month,Fiber Optic,10.0,Mailed Check,NM,"$51,500"
Z301326,MI,5652,70,Female,True,Month-to-month,Fiber Optic,1.0,Electronic Check,MI,"$56,813"
J887250,VT,1716,20,Female,True,One year,DSL,1.0,Bank Transfer(automatic),VT,"$63,206"
Z686376,MD,52484,69,Male,True,Two Year,DSL,5.0,Credit Card (automatic),MD,"$70,730"
